interface,n_domain_cells,n_stratum_cells,stratum,n_strata,rho_defs,n_genes,max_abs_lfc,n_null_sig,n_null_tested,mesh_verts,watertight
VLMC,28661,6274,15DPI,13,0.20680501938620985,5883,0.3694826364517212,12,12,9206,True
MSN,22728,4504,15DPI,11,0.4935773493177821,8380,0.4892723560333252,10,12,8224,True
CMPN,18978,4740,15DPI,10,0.3476268566166861,7932,0.20845836400985718,4,12,6680,True
mpEX,16480,3231,15DPI,10,0.2905554120676422,7809,0.4482911229133606,8,12,5842,True
