interface,n_domain_cells,n_stratum_cells,stratum,n_strata,rho_defs,n_genes,max_abs_lfc,n_null_sig,n_null_tested,mesh_verts,watertight
l3,312638,37303,0hpa2,16,0.5814254856648541,1488,5.287410736083984,5,12,2762,True
l5,267336,33169,36hpa1,16,0.5837858759113117,1288,6.220202922821045,3,12,3724,True
l4,2762468,374522,0hpa2,16,0.5999384523532614,1409,22.07329559326172,12,12,4288,True
not_anno,915470,915370,WT,4,0.42801971280418843,1228,1.4346833229064941,1,12,6492,True
