interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
midgut,eEF1alpha1,1.2342852,1.1885319,0.04575336,,
midgut,CG5773,0.256184,0.21185017,0.044333845,,
midgut,ATPsynbeta,0.73548526,0.69121885,0.044266403,,
midgut,CG7252,0.13010156,0.08602862,0.04407294,,
midgut,mt:ND5,0.10473014,0.062385805,0.04234433,,
midgut,CG5883,0.09300902,0.05083269,0.04217633,,
midgut,CG6484,0.072413936,0.030728122,0.041685812,,
midgut,RpL4,0.40529072,0.36368877,0.041601956,,
midgut,blw,0.5180928,0.48056567,0.037527144,,
midgut,CG8952,0.11447236,0.0772258,0.037246563,,
midgut,CG1246,0.09405474,0.058133587,0.035921156,,
midgut,Lcp65Ac,0.1260591,0.09065925,0.035399847,,
midgut,CG3609,0.09390345,0.058954716,0.034948736,,
midgut,CG32483,0.087156355,0.052548274,0.03460808,,
midgut,Vha100-2,0.13000278,0.09618821,0.03381457,,
midgut,OtopLb,0.06478361,0.03100508,0.03377853,,
midgut,Xrp1,0.16092496,0.12752335,0.03340161,,
midgut,RpL35A,0.5558992,0.52286756,0.033031642,,
midgut,Cyp9b2,0.059935205,0.02696256,0.032972645,,
midgut,Tsp42Ed,0.1485887,0.11639007,0.03219863,,
midgut,CG11911,0.309305,0.27713522,0.03216979,,
midgut,RNaseMRP:RNA,0.08678524,0.05497959,0.031805653,,
midgut,CG9672,0.17416784,0.14238624,0.0317816,,
midgut,CG14989,0.070525326,0.039711334,0.030813992,,
midgut,CG10182,0.06719927,0.036534894,0.030664373,,
midgut,ATP6AP2,0.33216664,0.30244696,0.02971968,,
midgut,CG14818,0.18226334,0.15340263,0.028860718,,
midgut,Fer2LCH,0.25709766,0.22838199,0.02871567,,
midgut,lectin-37Db,0.07554426,0.046887014,0.028657246,,
midgut,RpS18,0.68829924,0.6600108,0.028288424,,
midgut,CG18547,0.051700857,0.023419835,0.028281022,,
midgut,AdSS,0.12512292,0.09687479,0.028248131,,
midgut,Nc73EF,0.106120616,0.079378925,0.026741691,,
midgut,CG9331,0.12993546,0.10320729,0.026728168,,
midgut,Cht9,0.10832948,0.082556784,0.025772698,,
midgut,RpS16,0.68575156,0.6609313,0.024820268,,
midgut,Xbp1,0.13588333,0.11164064,0.024242692,,
midgut,CG17574,0.11738641,0.093366824,0.024019584,,
midgut,CycG,0.23243873,0.20887522,0.023563504,,
midgut,CG4741,0.07816813,0.054646134,0.023521997,,
midgut,CG14963,0.058251638,0.0349449,0.023306739,,
midgut,Cyt-b5-r,0.116398476,0.09348845,0.022910029,,
midgut,D2hgdh,0.15388276,0.13156703,0.022315726,,
midgut,CG12171,0.05997669,0.037798066,0.022178624,,
midgut,Acbp6,0.20399822,0.18222034,0.021777883,,
midgut,MtnD,0.14952198,0.12796852,0.021553457,,
midgut,Tsp29Fb,0.30066466,0.27927545,0.021389216,,
midgut,CG32278,0.06591202,0.044806387,0.021105636,,
midgut,CG15127,0.05866056,0.03818602,0.020474538,,
midgut,CG34288,0.091026,0.07091024,0.020115763,,
midgut,Gale,0.09861979,0.07851974,0.02010005,,
midgut,CG17109,0.1124132,0.092343785,0.020069413,,
midgut,Arc1,0.15259936,0.13266768,0.019931689,,
midgut,Muc11A,0.101004995,0.081148624,0.019856371,,
midgut,ND-MWFE,0.25718954,0.23790836,0.019281179,,
midgut,CG15818,0.20130989,0.18251538,0.018794507,,
midgut,Hsc70-4,0.46376103,0.44509307,0.018667966,,
midgut,RpL41,1.8147511,1.7962509,0.018500209,,
midgut,crc,0.15222232,0.13387103,0.018351287,,
midgut,Treh,0.08532374,0.067202255,0.018121488,,
midgut,CG6084,0.06313812,0.04514418,0.017993938,,
midgut,mAcon1,0.16623315,0.14851302,0.017720133,,
midgut,Sec61alpha,0.0707955,0.05339498,0.017400518,,
midgut,Jheh3,0.09557204,0.07824043,0.017331608,,
midgut,MtnE,0.18065028,0.16346753,0.017182752,,
midgut,Adat1,0.045971956,0.028900642,0.017071314,,
midgut,CG12974,0.12672904,0.109786145,0.016942896,,
midgut,CG7054,0.07157297,0.05482364,0.016749326,,
midgut,Myo31DF,0.07582988,0.059209857,0.016620021,,
midgut,RFeSP,0.29246053,0.27635285,0.016107678,,
midgut,CG13067,0.088521965,0.07243405,0.016087912,,
midgut,Gclc,0.048974242,0.032926332,0.01604791,,
midgut,HnRNP-K,0.06753372,0.051670037,0.01586368,,
midgut,CG9394,0.06603255,0.050444894,0.015587658,,
midgut,Pdi,0.14412746,0.1285757,0.015551761,,
midgut,SdhA,0.095576786,0.08027049,0.015306294,,
midgut,Sar1,0.0876552,0.0729579,0.014697298,,
midgut,IA-2,0.08735348,0.07272035,0.014633134,,
midgut,mex1,0.13734534,0.122748114,0.01459723,,
midgut,AANAT1,0.051901333,0.037434496,0.014466837,,
midgut,SdhB,0.13706765,0.12268985,0.014377795,,
midgut,ScsbetaA,0.06625124,0.052343737,0.013907503,,
midgut,Vha100-5,0.09461475,0.08075683,0.013857923,,
midgut,kcc,0.058454864,0.044667736,0.013787128,,
midgut,lncRNA:roX1,0.09963743,0.08608239,0.013555035,,
midgut,asRNA:CR45264,0.098292,0.08492845,0.013363548,,
midgut,CG15043,0.080148324,0.06685477,0.013293557,,
midgut,RpS6,0.51330256,0.50007015,0.01323241,,
midgut,UQCR-C1,0.19499952,0.18185219,0.013147324,,
midgut,UQCR-6.4,0.36579916,0.35273746,0.013061702,,
midgut,Fkbp14,0.07685703,0.06380037,0.013056658,,
midgut,Fst,0.31261316,0.299581,0.013032168,,
midgut,CG31974,0.05975601,0.046745297,0.013010714,,
midgut,Ugt37D1,0.047545988,0.034565903,0.012980085,,
midgut,CG9034,0.18562679,0.17268084,0.01294595,,
midgut,muc,0.06495553,0.052080795,0.012874737,,
midgut,levy,0.6905057,0.6777553,0.012750387,,
midgut,Cyp12a4,0.052448865,0.039709743,0.012739122,,
midgut,Decay,0.04970356,0.037105955,0.012597606,,
midgut,AOX1,0.065576985,0.05310353,0.012473457,,
midgut,ATPsynF,0.6118566,0.5993894,0.0124672055,,
midgut,CG1882,0.084745966,0.072421156,0.01232481,,
midgut,COX7A,0.50698286,0.4949626,0.01202026,,
midgut,ref(2)P,0.05097386,0.03896419,0.012009669,,
midgut,Chd64,0.1921532,0.18068676,0.011466444,,
midgut,roh,0.45548853,0.44406396,0.011424571,,
midgut,CG4928,0.095764086,0.084363215,0.011400871,,
midgut,Cpr,0.046772566,0.035492007,0.011280559,,
midgut,Idh3a,0.09674852,0.0855553,0.011193223,,
midgut,CG9759,0.07999754,0.06886436,0.011133179,,
midgut,CG8177,0.08062726,0.06966917,0.01095809,,
midgut,Atpalpha,0.056727406,0.045856968,0.010870438,,
midgut,CAH7,0.045516934,0.034708977,0.0108079575,,
midgut,Shawl,0.08195944,0.07117512,0.0107843205,,
midgut,CG43110,0.055880923,0.04516368,0.010717243,,
midgut,CG32276,0.108026944,0.09736977,0.010657176,,
midgut,mesh,0.08640772,0.07585362,0.010554098,,
midgut,Gclm,0.07026165,0.059712123,0.010549527,,
midgut,mt:srRNA,0.076004855,0.06546419,0.010540664,,
midgut,CG1927,0.055331048,0.04479206,0.010538988,,
midgut,Dp1,0.066029415,0.05570855,0.010320865,,
midgut,RpS25,1.3182516,1.3079945,0.010257125,,
midgut,CG15152,0.09472551,0.084510624,0.010214888,,
midgut,Mur29B,0.084935576,0.07474505,0.010190524,,
midgut,CG9380,0.07979506,0.06984845,0.0099466145,,
