gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
DNAJC9,0.025609145,0.028070534,-0.0024613887,,,tumor|nontumor
NUCKS1,0.09556497,0.09803128,-0.0024663135,,,tumor|nontumor
BCAP31,0.11963234,0.12210234,-0.0024700016,,,tumor|nontumor
AHCY,0.02065042,0.023122344,-0.0024719238,,,tumor|nontumor
ZFP36L2,0.0968909,0.09936475,-0.0024738535,,,tumor|nontumor
MAX,0.034691982,0.0371672,-0.002475217,,,tumor|nontumor
CTPS1,0.041997265,0.04447361,-0.0024763457,,,tumor|nontumor
ROMO1,0.094775915,0.09725646,-0.0024805441,,,tumor|nontumor
SNU13,0.12478487,0.1272715,-0.0024866313,,,tumor|nontumor
ERP29,0.031366974,0.03385914,-0.002492167,,,tumor|nontumor
ANP32E,0.029147428,0.031639762,-0.0024923347,,,tumor|nontumor
RRM1,0.022679586,0.025172858,-0.0024932716,,,tumor|nontumor
NFIC,0.05096007,0.053454444,-0.0024943724,,,tumor|nontumor
EIF3A,0.036862183,0.03935952,-0.0024973378,,,tumor|nontumor
HMGA1,0.054171085,0.0566757,-0.0025046133,,,tumor|nontumor
FAM120A,0.0909468,0.09345643,-0.0025096312,,,tumor|nontumor
PARP1,0.060422193,0.06293407,-0.0025118776,,,tumor|nontumor
CYB5B,0.036498252,0.039017238,-0.0025189854,,,tumor|nontumor
ATAD2,0.020287769,0.022806767,-0.0025189985,,,tumor|nontumor
NEFM,0.024255063,0.026778318,-0.0025232546,,,tumor|nontumor
MALAT1,0.28350908,0.28603557,-0.0025264919,,,tumor|nontumor
HYOU1,0.039684214,0.042217404,-0.00253319,,,tumor|nontumor
NAA50,0.044295974,0.04683381,-0.0025378354,,,tumor|nontumor
RFC4,0.03594057,0.038482845,-0.002542276,,,tumor|nontumor
EIF3F,0.024674576,0.02722634,-0.0025517642,,,tumor|nontumor
LSM7,0.032106232,0.03465966,-0.0025534295,,,tumor|nontumor
SNRNP200,0.05546006,0.058016308,-0.0025562495,,,tumor|nontumor
PA2G4,0.055345956,0.057902828,-0.0025568716,,,tumor|nontumor
IMMT,0.02780169,0.030375684,-0.002573993,,,tumor|nontumor
NDUFA11,0.035633158,0.038207624,-0.0025744662,,,tumor|nontumor
CCNB1,0.021897048,0.02447664,-0.0025795922,,,tumor|nontumor
SEC13,0.029656596,0.032240126,-0.0025835298,,,tumor|nontumor
UXT,0.024488632,0.0270752,-0.0025865678,,,tumor|nontumor
CENPF,0.020227574,0.022814551,-0.0025869776,,,tumor|nontumor
PRSS21,0.03066916,0.033256773,-0.0025876127,,,tumor|nontumor
ERAP2,0.02147725,0.024084019,-0.0026067682,,,tumor|nontumor
GFPT2,0.027584733,0.030197382,-0.0026126485,,,tumor|nontumor
PPT1,0.0721864,0.07479906,-0.0026126578,,,tumor|nontumor
FH,0.029393228,0.03200623,-0.0026130024,,,tumor|nontumor
CCT4,0.08423498,0.08684885,-0.0026138648,,,tumor|nontumor
TNFSF10,0.1969743,0.19958831,-0.0026140064,,,tumor|nontumor
NDUFS7,0.021166349,0.023798216,-0.0026318673,,,tumor|nontumor
SFT2D2,0.03277072,0.035403434,-0.0026327148,,,tumor|nontumor
COX7B,0.031097287,0.033734858,-0.0026375707,,,tumor|nontumor
OAZ1,0.2581596,0.26080042,-0.0026408136,,,tumor|nontumor
AKR1A1,0.052476097,0.05511699,-0.0026408918,,,tumor|nontumor
BIRC5,0.03081234,0.033454366,-0.0026420262,,,tumor|nontumor
STIM1,0.025856992,0.028499957,-0.002642965,,,tumor|nontumor
RAB2A,0.09763122,0.10027729,-0.0026460662,,,tumor|nontumor
NAA38,0.057124082,0.05977469,-0.0026506074,,,tumor|nontumor
RUNX3,0.039072998,0.041725043,-0.0026520453,,,tumor|nontumor
COPA,0.060965937,0.06361972,-0.0026537813,,,tumor|nontumor
CD2AP,0.037099563,0.039793316,-0.0026937537,,,tumor|nontumor
EIF4G1,0.07688153,0.0795839,-0.0027023703,,,tumor|nontumor
NUP205,0.031067304,0.033777975,-0.0027106702,,,tumor|nontumor
MT-TP,0.024025768,0.026747443,-0.0027216747,,,tumor|nontumor
MYD88,0.028633157,0.031355,-0.0027218442,,,tumor|nontumor
SMARCD2,0.021661919,0.024384588,-0.0027226694,,,tumor|nontumor
CDK1,0.030841595,0.033564918,-0.0027233232,,,tumor|nontumor
DAZAP2,0.12840866,0.13114542,-0.0027367622,,,tumor|nontumor
MFSD6,0.027807295,0.030546743,-0.002739448,,,tumor|nontumor
SF3B3,0.041548163,0.044291243,-0.0027430803,,,tumor|nontumor
TOPBP1,0.023369225,0.026114596,-0.0027453713,,,tumor|nontumor
NACA,0.13753669,0.14028332,-0.0027466267,,,tumor|nontumor
PSMA5,0.051437072,0.054204464,-0.0027673915,,,tumor|nontumor
ANLN,0.029686838,0.032458402,-0.0027715638,,,tumor|nontumor
TRIM25,0.03216276,0.034942478,-0.0027797185,,,tumor|nontumor
ACSL3,0.03602074,0.038818922,-0.002798181,,,tumor|nontumor
KLK8,0.022711087,0.025514482,-0.0028033946,,,tumor|nontumor
TMEM123,0.028142665,0.030959474,-0.0028168093,,,tumor|nontumor
PRPF8,0.053961433,0.056778524,-0.0028170906,,,tumor|nontumor
SLC44A2,0.02265158,0.025473766,-0.0028221868,,,tumor|nontumor
KPNA2,0.029463958,0.03228969,-0.0028257333,,,tumor|nontumor
LGALS7B,0.021135537,0.023972044,-0.0028365068,,,tumor|nontumor
TRAM1,0.07446758,0.07731075,-0.0028431714,,,tumor|nontumor
MAPRE1,0.066150405,0.06904228,-0.0028918758,,,tumor|nontumor
NDUFB9,0.08572455,0.08861799,-0.0028934404,,,tumor|nontumor
LSR,0.05759285,0.060487222,-0.0028943717,,,tumor|nontumor
NQO1,0.020116044,0.023016807,-0.0029007625,,,tumor|nontumor
DKC1,0.038465817,0.041371014,-0.0029051974,,,tumor|nontumor
HIVEP3,0.024085334,0.026997875,-0.0029125419,,,tumor|nontumor
RPL9,0.16296035,0.16587523,-0.0029148757,,,tumor|nontumor
HDGF,0.14260058,0.14553379,-0.0029332042,,,tumor|nontumor
NOP56,0.052100725,0.05504632,-0.0029455945,,,tumor|nontumor
UBC,0.22766273,0.230622,-0.0029592663,,,tumor|nontumor
USF2,0.044001665,0.046961788,-0.0029601231,,,tumor|nontumor
ARL6IP5,0.024356496,0.02731833,-0.002961835,,,tumor|nontumor
HMGN3,0.03451691,0.037484992,-0.002968084,,,tumor|nontumor
IRAK1,0.06357476,0.06655028,-0.002975516,,,tumor|nontumor
RASIP1,0.02665133,0.029633678,-0.0029823482,,,tumor|nontumor
UFC1,0.05323105,0.05622655,-0.0029955022,,,tumor|nontumor
MCTS1,0.037453815,0.040465422,-0.0030116066,,,tumor|nontumor
APOE,0.056298453,0.059327506,-0.0030290522,,,tumor|nontumor
PPA2,0.02993766,0.032968562,-0.0030309018,,,tumor|nontumor
GDI2,0.23599832,0.23902969,-0.003031373,,,tumor|nontumor
DCBLD1,0.020288689,0.02332018,-0.0030314904,,,tumor|nontumor
NLRP2,0.037945736,0.040981866,-0.0030361302,,,tumor|nontumor
SNRPE,0.08805729,0.091098376,-0.0030410886,,,tumor|nontumor
DDX5,0.15093951,0.15398484,-0.0030453354,,,tumor|nontumor
EIF3G,0.03245394,0.035502393,-0.0030484535,,,tumor|nontumor
EIF2S3,0.045404524,0.048457313,-0.0030527897,,,tumor|nontumor
PSMD8,0.047835242,0.050889805,-0.003054563,,,tumor|nontumor
RHOA,0.13708329,0.14015411,-0.0030708164,,,tumor|nontumor
SEC23B,0.026470024,0.029542357,-0.0030723326,,,tumor|nontumor
REX1BD,0.023395916,0.026473168,-0.0030772518,,,tumor|nontumor
PARP14,0.03234192,0.035428714,-0.0030867942,,,tumor|nontumor
TCP1,0.092151955,0.09524171,-0.0030897558,,,tumor|nontumor
PSMA4,0.058627285,0.06172066,-0.0030933768,,,tumor|nontumor
SRSF1,0.027505785,0.03060406,-0.0030982755,,,tumor|nontumor
