dataset,domain,stratum,n_stratum_cells,n_domain_cells,n_band,genuine_frac,n_survive,n_tested,max_abs_lfc,top_genes,truth_survive,truth_tested
prista4d_planarian,l4,36hpa2,286589,223066,74356,0.4075,5,12,0.8799,SMESG000062648.1;SMESG000062943.1;SMESG000017804.1;SMESG000035335.1;SMESG000035330.1;SMESG000035327.1,5,12
prista4d_planarian,l4,3dpa1,197835,149972,49991,0.529,7,12,0.5348,SMESG000074793.1;SMESG000014460.1;SMESG000044171.1;SMESG000019619.1;SMESG000005378.1;SMESG000062943.1,7,12
prista4d_planarian,l4,3dpa2,219546,166769,55590,0.4042,7,12,0.4309,SMESG000066020.1;SMESG000022928.1;SMESG000060313.1;SMESG000006589.1;SMESG000067492.1;SMESG000066027.1,7,12
prista4d_planarian,l4,5dpa1,173318,127452,42484,0.4023,11,12,0.6186,SMESG000052592.1;SMESG000000730.1;SMESG000042388.1;SMESG000073667.1;SMESG000042349.1;SMESG000034921.1,11,12
prista4d_planarian,l4,5dpa2,336368,261499,87167,0.3386,6,12,0.8039,SMESG000049187.1;SMESG000072719.1;SMESG000014460.1;SMESG000007128.1;SMESG000051672.1;SMESG000035327.1,6,12
prista4d_planarian,l4,7dpa1,124052,89348,29783,0.2311,7,12,0.6011,SMESG000017972.1;SMESG000007775.1;SMESG000014361.1;SMESG000066027.1;SMESG000040790.1;SMESG000034805.1,7,12
prista4d_planarian,l4,7dpa2,133049,90680,30227,0.2173,11,12,0.8716,SMESG000042388.1;SMESG000000730.1;SMESG000042349.1;SMESG000073667.1;SMESG000034921.1;SMESG000062648.1,11,12
prista4d_planarian,l5,0hpa1,329264,16624,5542,0.3767,4,12,0.5016,SMESG000037994.1;SMESG000028264.1;SMESG000037995.1;SMESG000034316.1;SMESG000074187.1;SMESG000017804.1,4,12
prista4d_planarian,l5,0hpa2,436218,24393,8131,0.3778,2,12,0.9942,SMESG000021798.1;SMESG000067657.1;SMESG000067663.1;SMESG000027736.1;SMESG000067661.1;SMESG000067658.1,2,12
prista4d_planarian,l5,10dpa1,127279,11569,3857,0.2254,11,12,1.5393,SMESG000058307.1;SMESG000040790.1;SMESG000016791.1;SMESG000007775.1;SMESG000028039.1;SMESG000007315.1,11,12
prista4d_planarian,l5,12hpa1,282452,26412,8804,0.5207,12,12,0.8933,SMESG000043289.1;SMESG000004901.1;SMESG000002628.1;SMESG000007315.1;SMESG000055421.1;SMESG000080290.1,12,12
prista4d_planarian,l5,12hpa2,239978,19680,6560,0.5724,10,12,1.0343,SMESG000080290.1;SMESG000038055.1;SMESG000016993.1;SMESG000058307.1;SMESG000037994.1;SMESG000037995.1,10,12
prista4d_planarian,l5,14dpa1,90313,6183,2061,0.3001,9,12,2.7433,SMESG000062868.1;SMESG000013389.1;SMESG000036225.1;SMESG000066027.1;SMESG000043644.1;SMESG000043649.1,9,12
prista4d_planarian,l5,14dpa2,147402,7442,2481,0.2766,8,12,0.9216,SMESG000013389.1;SMESG000043649.1;SMESG000034316.1;SMESG000033462.1;SMESG000017229.1;SMESG000036225.1,8,12
prista4d_planarian,l5,36hpa1,332507,33169,11057,0.2201,11,12,1.5492,SMESG000013036.1;SMESG000029581.1;SMESG000066927.1;SMESG000040823.1;SMESG000007315.1;SMESG000080290.1,11,12
prista4d_planarian,l5,36hpa2,286589,31808,10603,0.375,12,12,1.4287,SMESG000058321.1;SMESG000043289.1;SMESG000042787.1;SMESG000080290.1;SMESG000058307.1;SMESG000007315.1,12,12
prista4d_planarian,l5,3dpa1,197835,16546,5516,0.4328,12,12,0.6882,SMESG000066027.1;SMESG000042388.1;SMESG000042349.1;SMESG000062943.1;SMESG000073667.1;SMESG000034921.1,12,12
prista4d_planarian,l5,3dpa2,219546,22895,7632,0.4416,6,12,0.8381,SMESG000037978.1;SMESG000037994.1;SMESG000027140.1;SMESG000062648.1;SMESG000003087.1;SMESG000017804.1,6,12
prista4d_planarian,l5,5dpa1,173318,11871,3957,0.3436,9,12,1.0866,SMESG000055421.1;SMESG000061762.1;SMESG000042787.1;SMESG000043289.1;SMESG000058321.1;SMESG000058307.1,9,12
prista4d_planarian,l5,5dpa2,336368,23109,7703,0.3342,9,12,0.3627,SMESG000055421.1;SMESG000007315.1;SMESG000056451.1;SMESG000043644.1;SMESG000066035.1;SMESG000043649.1,9,12
prista4d_planarian,l5,7dpa1,124052,8284,2762,0.2418,10,12,0.9283,SMESG000042787.1;SMESG000067492.1;SMESG000004901.1;SMESG000043289.1;SMESG000058307.1;SMESG000055421.1,10,12
prista4d_planarian,l5,7dpa2,133049,5384,1795,0.154,10,12,0.6809,SMESG000043444.1;SMESG000007128.1;SMESG000037599.1;SMESG000009941.1;SMESG000007775.1;SMESG000028039.1,10,12
