dataset,domain,stratum,n_band,genuine_frac,survive,tested,truth_survive,match
prista4d_planarian,l3,36hpa1,12348,0.2505,9,12,9,yes
prista4d_planarian,l3,36hpa2,10572,0.3614,11,12,11,yes
prista4d_planarian,l3,3dpa1,7024,0.4545,7,12,7,yes
prista4d_planarian,l3,3dpa2,6510,0.3448,12,12,12,yes
prista4d_planarian,l3,5dpa1,5765,0.3065,12,12,12,yes
prista4d_planarian,l3,5dpa2,6735,0.3195,11,12,11,yes
prista4d_planarian,l3,7dpa1,3625,0.2134,12,12,12,yes
prista4d_planarian,l3,7dpa2,6772,0.2307,7,12,7,yes
prista4d_planarian,l4,0hpa1,97335,0.4479,10,12,10,yes
prista4d_planarian,l4,0hpa2,124841,0.4334,11,12,11,yes
prista4d_planarian,l4,10dpa1,28412,0.2685,11,12,11,yes
prista4d_planarian,l4,10dpa2,17515,0.2611,12,12,12,yes
prista4d_planarian,l4,12hpa1,78424,0.5136,10,12,10,yes
prista4d_planarian,l4,12hpa2,63281,0.5205,5,12,5,yes
prista4d_planarian,l4,14dpa1,18069,0.2478,11,12,11,yes
prista4d_planarian,l4,14dpa2,35921,0.2947,9,12,9,yes
prista4d_planarian,l4,36hpa1,87432,0.2492,6,12,6,yes
prista4d_planarian,l4,36hpa2,74356,0.4075,5,12,5,yes
prista4d_planarian,l4,3dpa1,49991,0.529,7,12,7,yes
prista4d_planarian,l4,3dpa2,55590,0.4042,7,12,7,yes
prista4d_planarian,l4,5dpa1,42484,0.4023,11,12,11,yes
prista4d_planarian,l4,5dpa2,87167,0.3386,6,12,6,yes
prista4d_planarian,l4,7dpa1,29783,0.2311,7,12,7,yes
prista4d_planarian,l4,7dpa2,30227,0.2173,11,12,11,yes
prista4d_planarian,l5,0hpa1,5542,0.3767,4,12,4,yes
prista4d_planarian,l5,0hpa2,8131,0.3778,2,12,2,yes
prista4d_planarian,l5,10dpa1,3857,0.2254,11,12,11,yes
prista4d_planarian,l5,12hpa1,8804,0.5207,12,12,12,yes
prista4d_planarian,l5,12hpa2,6560,0.5724,10,12,10,yes
prista4d_planarian,l5,14dpa1,2061,0.3001,9,12,9,yes
prista4d_planarian,l5,14dpa2,2481,0.2766,8,12,8,yes
prista4d_planarian,l5,36hpa1,11057,0.2201,11,12,11,yes
prista4d_planarian,l5,36hpa2,10603,0.375,12,12,12,yes
prista4d_planarian,l5,3dpa1,5516,0.4328,12,12,12,yes
prista4d_planarian,l5,3dpa2,7632,0.4416,6,12,6,yes
prista4d_planarian,l5,5dpa1,3957,0.3436,9,12,9,yes
prista4d_planarian,l5,5dpa2,7703,0.3342,9,12,9,yes
prista4d_planarian,l5,7dpa1,2762,0.2418,10,12,10,yes
prista4d_planarian,l5,7dpa2,1795,0.154,10,12,10,yes
whole_mouse_embryo_3d_cngb,1-muscle,all,877,0.4499,4,12,4,yes
whole_mouse_embryo_3d_cngb,2-craniofacial primordium,all,489,0.1897,1,12,1,yes
whole_mouse_embryo_3d_cngb,3-endochondral bone,all,477,0.4231,12,12,12,yes
whole_mouse_embryo_3d_cngb,4-primordium of chondrocranium,all,438,0.3944,10,12,10,yes
zesta_zebrafish,Notochord,all,1306,0.5317,11,12,11,yes
zesta_zebrafish,Nervous System,all,4690,0.673,11,12,11,yes
zesta_zebrafish,Yolk Syncytial Layer,all,1184,0.5237,12,12,12,yes
zesta_zebrafish,"Segmental Plate, Tail Bud",all,1318,0.4783,8,12,10,no
