dataset,interface,stratum,survive,tested,n_band,genuine_frac
prista4d_planarian,l3|rest,14dpa1,7,12,2085,0.337
prista4d_planarian,l3|rest,14dpa2,4,12,2838,0.27
prista4d_planarian,l3|rest,36hpa1,9,12,12348,0.25
prista4d_planarian,l3|rest,36hpa2,11,12,10572,0.361
prista4d_planarian,l3|rest,3dpa1,7,12,7024,0.454
prista4d_planarian,l3|rest,3dpa2,12,12,6510,0.345
prista4d_planarian,l3|rest,5dpa1,12,12,5765,0.306
prista4d_planarian,l3|rest,5dpa2,11,12,6735,0.32
prista4d_planarian,l3|rest,7dpa1,12,12,3625,0.213
prista4d_planarian,l3|rest,7dpa2,7,12,6772,0.231
prista4d_planarian,l4|rest,0hpa1,10,12,97335,0.448
prista4d_planarian,l4|rest,0hpa2,11,12,124841,0.433
prista4d_planarian,l4|rest,10dpa1,11,12,28412,0.269
prista4d_planarian,l4|rest,10dpa2,12,12,17515,0.261
prista4d_planarian,l4|rest,12hpa1,10,12,78424,0.514
prista4d_planarian,l4|rest,12hpa2,5,12,63281,0.52
prista4d_planarian,l4|rest,14dpa1,11,12,18069,0.248
prista4d_planarian,l4|rest,14dpa2,9,12,35921,0.295
prista4d_planarian,l4|rest,36hpa1,6,12,87432,0.249
prista4d_planarian,l4|rest,36hpa2,5,12,74356,0.408
prista4d_planarian,l4|rest,3dpa1,7,12,49991,0.529
prista4d_planarian,l4|rest,3dpa2,7,12,55590,0.404
prista4d_planarian,l4|rest,5dpa1,11,12,42484,0.402
prista4d_planarian,l4|rest,5dpa2,6,12,87167,0.339
prista4d_planarian,l4|rest,7dpa1,7,12,29783,0.231
prista4d_planarian,l4|rest,7dpa2,11,12,30227,0.217
prista4d_planarian,l5|rest,0hpa1,4,12,5542,0.377
prista4d_planarian,l5|rest,0hpa2,2,12,8131,0.378
prista4d_planarian,l5|rest,10dpa1,11,12,3857,0.225
prista4d_planarian,l5|rest,12hpa1,12,12,8804,0.521
prista4d_planarian,l5|rest,12hpa2,10,12,6560,0.572
prista4d_planarian,l5|rest,14dpa1,9,12,2061,0.3
prista4d_planarian,l5|rest,14dpa2,8,12,2481,0.277
prista4d_planarian,l5|rest,36hpa1,11,12,11057,0.22
prista4d_planarian,l5|rest,36hpa2,12,12,10603,0.375
prista4d_planarian,l5|rest,3dpa1,12,12,5516,0.433
prista4d_planarian,l5|rest,3dpa2,6,12,7632,0.442
prista4d_planarian,l5|rest,5dpa1,9,12,3957,0.344
prista4d_planarian,l5|rest,5dpa2,9,12,7703,0.334
prista4d_planarian,l5|rest,7dpa1,10,12,2762,0.242
prista4d_planarian,l5|rest,7dpa2,10,12,1795,0.154
