gene,total,composition,within_celltype,pct_composition
A2M,-0.0008488429224622275,0.0009638860884894525,-0.00181272901095168,-113.55293929924288
AAK1,0.000624023298647881,-0.001220145862081211,0.001844169160729092,-195.52889527121735
ACLY,0.00312192820097025,0.006772038702239607,-0.003650110501269357,216.91846404843506
ACO2,0.000768626511100282,0.002635910524306831,-0.001867284013206549,342.9377579669414
ACTA2,0.01895267617834522,0.008498603490238406,0.010454072688106813,44.84117921008256
ACTB,0.00619249008435065,0.017458443375829358,-0.011265953291478708,281.92929077027446
ACTG1,-0.030396277732038186,-0.016914947963718847,-0.01348132976831934,55.64808991691179
ACTN1,0.023045253028771487,0.023849108333273465,-0.00080385530450198,103.48816002800395
ACTN4,0.015501701452630004,0.0070321555056572106,0.008469545946972794,45.36376556564468
ACTR2,-0.006772419234042565,-0.0037234989321777556,-0.0030489203018648093,54.98033721038767
ACTR3,-0.0067638708969696175,-0.002423779388769921,-0.004340091508199697,35.834205378695714
ADAR,0.002435820074162671,0.0028798347725919994,-0.00044401469842932843,118.22855075130956
ADD1,-0.001760480092538238,0.0002037880673726013,-0.0019642681599108393,-11.575709843942754
ADNP,0.0026375764579105636,0.0022872611492315495,0.00035031530867901434,86.71828800911702
AGFG1,0.005215579904997784,0.005723539986424842,-0.0005079600814270578,109.739282892403
AHNAK,0.018532443012024183,0.019763967351064567,-0.001231524339040383,106.6452347283159
AIDA,0.001988881312001838,0.0026400834559508002,-0.0006512021439489624,132.74213197234567
AK2,0.004936031857021292,0.0039071404159838246,0.0010288914410374675,79.15549431525824
AKAP13,0.0070871108279206944,0.003407707976594321,0.003679402851326374,48.08317605489058
AKR1A1,0.002255921734186422,0.004307263280454587,-0.002051341546268165,190.93141464892014
ALKBH5,0.0017052599562486657,0.000427949772549948,0.0012773101836987177,25.095867112916782
ALYREF,0.0008645799721711649,0.0014383946295354415,-0.0005738146573642766,166.36918224271287
AMTN,0.10465356671455432,0.10277847859417352,0.0018750881203807978,98.20829028646949
ANAPC16,-0.0035795141011580557,-0.003775699345777675,0.0001961852446196193,105.48077864970972
ANAPC5,0.00655358600855988,0.004359133835863992,0.0021944521726958884,66.51524570167183
ANO1,0.01738274053049719,0.018329000874660238,-0.0009462603441630501,105.44367755189626
ANP32A,-0.003993589204533625,-0.0013273518708828865,-0.0026662373336507387,33.23706577972624
ANP32B,-0.011297511803428037,-0.00255991858403958,-0.008737593219388457,22.659136176010158
ANXA1,0.02270285957998457,0.01652622980789879,0.00617662977208578,72.79360447821622
ANXA2,0.08099048022557273,0.0791968284346373,0.00179365179093543,97.78535478992124
ANXA5,0.0027027512802577243,0.00545568308383034,-0.0027529318035726153,201.8566459918615
AP2M1,0.010002255137691513,0.011277780266357477,-0.0012755251286659644,112.7523754504062
AP2S1,0.008699336242381176,0.009065841965987819,-0.00036650572360664215,104.21303089563443
APH1A,0.00528885191016826,0.0057910164269377555,-0.0005021645167694956,109.49477363516347
