side,source,term_id,term_name,p_value,intersection_size
dent,GO:CC,GO:1990204,oxidoreductase complex,0.016172897894284225,5
dent,GO:CC,GO:0098554,cytoplasmic side of endoplasmic reticulum membrane,0.016208657603979763,3
dent,KEGG,KEGG:04612,Antigen processing and presentation,0.01717413511326493,5
dent,REAC,REAC:R-HSA-913531,Interferon Signaling,0.01789220281859683,9
dent,KEGG,KEGG:05140,Leishmaniasis,0.01957976399762426,5
dent,GO:CC,GO:0030666,endocytic vesicle membrane,0.020432626998741307,6
dent,GO:MF,GO:0022804,active transmembrane transporter activity,0.02212977050225305,9
dent,GO:BP,GO:0034101,erythrocyte homeostasis,0.022288037664044837,6
dent,GO:BP,GO:0010257,NADH dehydrogenase complex assembly,0.02279953377217803,4
dent,GO:BP,GO:0032981,mitochondrial respiratory chain complex I assembly,0.02279953377217803,4
dent,GO:BP,GO:0009165,nucleotide biosynthetic process,0.02349553958904805,7
dent,GO:BP,GO:0009058,biosynthetic process,0.02357119211508352,55
dent,GO:BP,GO:0070482,response to oxygen levels,0.023815782266628376,8
dent,GO:BP,GO:0046034,ATP metabolic process,0.027808022141814676,7
dent,REAC,REAC:R-HSA-6799198,Complex I biogenesis,0.029554563357945863,5
dent,GO:CC,GO:0030867,rough endoplasmic reticulum membrane,0.03041351330151088,3
dent,GO:CC,GO:0030669,clathrin-coated endocytic vesicle membrane,0.03097036402258254,4
dent,GO:BP,GO:0140694,membraneless organelle assembly,0.033309123012903,9
dent,KEGG,KEGG:00100,Steroid biosynthesis,0.03813498995959968,3
dent,KEGG,KEGG:04260,Cardiac muscle contraction,0.04433983163800775,5
dent,GO:CC,GO:0043229,intracellular organelle,0.04551719321932173,68
dent,GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,0.04637452811024854,18
dent,REAC,REAC:R-HSA-2426168,Activation of gene expression by SREBF (SREBP),0.04911704749510191,4
