side,source,term_id,term_name,p_value,intersection_size
bulge,KEGG,KEGG:04151,PI3K-Akt signaling pathway,0.015906152274937854,10
bulge,GO:BP,GO:0009132,nucleoside diphosphate metabolic process,0.016010240626385584,6
bulge,GO:BP,GO:1900748,positive regulation of vascular endothelial growth factor signaling pathway,0.0162809549711888,3
bulge,KEGG,KEGG:04810,Regulation of actin cytoskeleton,0.01654646715250903,8
bulge,GO:BP,GO:0001568,blood vessel development,0.016721880327731274,12
bulge,GO:BP,GO:0072359,circulatory system development,0.016783219941404203,15
bulge,KEGG,KEGG:05100,Bacterial invasion of epithelial cells,0.017066813187569783,5
bulge,GO:BP,GO:0048041,focal adhesion assembly,0.01939510746263009,5
bulge,REAC,REAC:R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,0.020958780853125844,12
bulge,GO:BP,GO:0030855,epithelial cell differentiation,0.02135973839269173,12
bulge,GO:BP,GO:0035239,tube morphogenesis,0.021600373072470806,13
bulge,GO:BP,GO:0035606,peptidyl-cysteine S-trans-nitrosylation,0.021757350109647026,2
bulge,GO:BP,GO:1903670,regulation of sprouting angiogenesis,0.023825201809675404,4
bulge,GO:BP,GO:0030198,extracellular matrix organization,0.02391347817345741,8
bulge,GO:BP,GO:0051240,positive regulation of multicellular organismal process,0.02397444591615708,18
bulge,GO:BP,GO:0043069,negative regulation of programmed cell death,0.024359947053765978,13
bulge,GO:BP,GO:0043062,extracellular structure organization,0.024481342295391725,8
bulge,GO:BP,GO:0045229,external encapsulating structure organization,0.02506052852428673,8
bulge,REAC,REAC:R-HSA-75205,Dissolution of Fibrin Clot,0.02531145708743206,3
bulge,GO:MF,GO:0005102,signaling receptor binding,0.02622178390440694,16
bulge,GO:BP,GO:0002934,desmosome organization,0.026799194643579095,3
bulge,GO:CC,GO:0016324,apical plasma membrane,0.02754585041369584,8
bulge,GO:CC,GO:0015629,actin cytoskeleton,0.028309093434653737,9
bulge,GO:BP,GO:0070482,response to oxygen levels,0.030123810900827646,8
bulge,GO:CC,GO:0042383,sarcolemma,0.030445869888374708,5
bulge,GO:BP,GO:0097193,intrinsic apoptotic signaling pathway,0.030813309973956038,8
bulge,KEGG,KEGG:05135,Yersinia infection,0.03210694571169189,6
bulge,GO:CC,GO:0005938,cell cortex,0.03230327690478958,7
bulge,GO:CC,GO:0097433,dense body,0.03326497306973265,2
bulge,GO:BP,GO:0030307,positive regulation of cell growth,0.03372365617319528,6
bulge,GO:CC,GO:0012505,endomembrane system,0.03445377048469377,32
bulge,GO:BP,GO:0031638,zymogen activation,0.03467599272017762,4
bulge,GO:MF,GO:0005515,protein binding,0.03496494297245811,72
bulge,GO:BP,GO:0043588,skin development,0.036021852444414984,8
bulge,GO:BP,GO:0007043,cell-cell junction assembly,0.03626139501884409,6
bulge,GO:BP,GO:0008284,positive regulation of cell population proliferation,0.03704396982266471,13
bulge,GO:BP,GO:0002690,positive regulation of leukocyte chemotaxis,0.037739331368447655,5
bulge,KEGG,KEGG:05222,Small cell lung cancer,0.04115176142190116,5
bulge,GO:BP,GO:0001525,angiogenesis,0.041234429079530344,10
bulge,GO:BP,GO:0048731,system development,0.04135105131767241,30
bulge,GO:CC,GO:0031983,vesicle lumen,0.042216601621988516,7
bulge,GO:BP,GO:0001667,ameboidal-type cell migration,0.042709762985212105,7
bulge,GO:CC,GO:0030057,desmosome,0.04302497062923944,3
bulge,GO:CC,GO:0098644,complex of collagen trimers,0.04302497062923944,3
bulge,GO:BP,GO:0050793,regulation of developmental process,0.04564130575061224,22
bulge,GO:BP,GO:2000026,regulation of multicellular organismal development,0.0458684009187636,16
bulge,GO:BP,GO:0006096,glycolytic process,0.04617538807276043,5
bulge,GO:CC,GO:0008305,integrin complex,0.0475158722613781,3
bulge,GO:CC,GO:0097180,serine protease inhibitor complex,0.049784923676458454,2
dent,GO:CC,GO:0022626,cytosolic ribosome,4.207862839476399e-57,34
dent,REAC,REAC:R-HSA-156902,Peptide chain elongation,5.170571625449817e-52,34
dent,REAC,REAC:R-HSA-156842,Eukaryotic Translation Elongation,3.1913186980602976e-51,34
dent,REAC,REAC:R-HSA-192823,Viral mRNA Translation,8.874003382563462e-50,33
dent,REAC,REAC:R-HSA-72764,Eukaryotic Translation Termination,5.116194719673657e-49,33
dent,REAC,REAC:R-HSA-2408557,Selenocysteine synthesis,5.116194719673657e-49,33
dent,REAC,REAC:R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),1.1865421868779705e-48,33
dent,REAC,REAC:R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,1.3061264002035416e-47,33
dent,REAC,REAC:R-HSA-72689,Formation of a pool of free 40S subunits,1.3061264002035416e-47,33
dent,GO:CC,GO:0044391,ribosomal subunit,4.785180189285848e-47,33
dent,REAC,REAC:R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,4.960671177008428e-46,33
dent,REAC,REAC:R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,6.983344352933233e-46,33
dent,REAC,REAC:R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,6.983344352933233e-46,33
dent,REAC,REAC:R-HSA-927802,Nonsense-Mediated Decay (NMD),1.9069974104131215e-45,33
dent,REAC,REAC:R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1.9069974104131215e-45,33
dent,REAC,REAC:R-HSA-2408522,Selenoamino acid metabolism,2.6472242748705062e-45,33
dent,REAC,REAC:R-HSA-72613,Eukaryotic Translation Initiation,6.943296945156723e-45,33
dent,REAC,REAC:R-HSA-72737,Cap-dependent Translation Initiation,6.943296945156723e-45,33
dent,GO:BP,GO:0002181,cytoplasmic translation,1.0076519003367531e-44,33
dent,REAC,REAC:R-HSA-168273,Influenza Viral RNA Transcription and Replication,3.3366083419452672e-43,33
dent,REAC,REAC:R-HSA-168255,Influenza Infection,7.444052190893133e-41,33
dent,REAC,REAC:R-HSA-9711097,Cellular response to starvation,1.503370861473599e-40,33
dent,REAC,REAC:R-HSA-9010553,Regulation of expression of SLITs and ROBOs,3.3025822800689455e-39,33
