dataset,loader,technology,z_spacing,domain,contrast,stratum,stratum_col,truth_survive,truth_tested,truth_n_band
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Rostral neurectoderm,rest,E8p0rep2,stage,6,12,783
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Paraxial mesoderm,rest,E7p75rep1,stage,5,12,521
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Paraxial mesoderm,rest,E7p75rep2,stage,2,12,430
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Paraxial mesoderm,rest,E8p0rep1,stage,6,12,743
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Paraxial mesoderm,rest,E8p0rep2,stage,0,12,1296
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Gut,rest,E7p5rep1,stage,7,12,223
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Gut,rest,E7p75rep1,stage,1,12,346
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Gut,rest,E7p75rep2,stage,8,12,610
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Gut,rest,E8p0rep1,stage,7,12,263
digital_mouse_embryo_seu3d,generic,seqfish,1.0,Gut,rest,E8p0rep2,stage,9,12,921
cerebellum_crossspecies_spatial,adapter,visium,1.0,molecular layer,rest,all,,12,12,1412160
cerebellum_crossspecies_spatial,adapter,visium,1.0,granular layer,rest,all,,7,12,779871
cerebellum_crossspecies_spatial,adapter,visium,1.0,purkinje layer,rest,all,,10,12,300369
cerebellum_crossspecies_spatial,adapter,visium,1.0,white matter,rest,all,,12,12,301023
prista4d_planarian,generic,stereoseq,1.0,l3,rest,0hpa1,stage,11,12,6876
prista4d_planarian,generic,stereoseq,1.0,l3,rest,0hpa2,stage,11,12,12435
prista4d_planarian,generic,stereoseq,1.0,l3,rest,10dpa1,stage,3,12,2594
prista4d_planarian,generic,stereoseq,1.0,l3,rest,10dpa2,stage,10,12,994
prista4d_planarian,generic,stereoseq,1.0,l3,rest,12hpa1,stage,12,12,6920
prista4d_planarian,generic,stereoseq,1.0,l3,rest,12hpa2,stage,12,12,10125
prista4d_planarian,generic,stereoseq,1.0,l3,rest,14dpa1,stage,7,12,2085
prista4d_planarian,generic,stereoseq,1.0,l3,rest,14dpa2,stage,4,12,2838
prista4d_planarian,generic,stereoseq,1.0,l3,rest,36hpa1,stage,9,12,12348
prista4d_planarian,generic,stereoseq,1.0,l3,rest,36hpa2,stage,11,12,10572
prista4d_planarian,generic,stereoseq,1.0,l3,rest,3dpa1,stage,7,12,7024
prista4d_planarian,generic,stereoseq,1.0,l3,rest,3dpa2,stage,12,12,6510
prista4d_planarian,generic,stereoseq,1.0,l3,rest,5dpa1,stage,12,12,5765
prista4d_planarian,generic,stereoseq,1.0,l3,rest,5dpa2,stage,11,12,6735
prista4d_planarian,generic,stereoseq,1.0,l3,rest,7dpa1,stage,12,12,3625
prista4d_planarian,generic,stereoseq,1.0,l3,rest,7dpa2,stage,7,12,6772
prista4d_planarian,generic,stereoseq,1.0,l4,rest,0hpa1,stage,10,12,97335
prista4d_planarian,generic,stereoseq,1.0,l4,rest,0hpa2,stage,11,12,124841
prista4d_planarian,generic,stereoseq,1.0,l4,rest,10dpa1,stage,11,12,28412
prista4d_planarian,generic,stereoseq,1.0,l4,rest,10dpa2,stage,12,12,17515
prista4d_planarian,generic,stereoseq,1.0,l4,rest,12hpa1,stage,10,12,78424
prista4d_planarian,generic,stereoseq,1.0,l4,rest,12hpa2,stage,5,12,63281
prista4d_planarian,generic,stereoseq,1.0,l4,rest,14dpa1,stage,11,12,18069
prista4d_planarian,generic,stereoseq,1.0,l4,rest,14dpa2,stage,9,12,35921
prista4d_planarian,generic,stereoseq,1.0,l4,rest,36hpa1,stage,6,12,87432
prista4d_planarian,generic,stereoseq,1.0,l4,rest,36hpa2,stage,5,12,74356
prista4d_planarian,generic,stereoseq,1.0,l4,rest,3dpa1,stage,7,12,49991
prista4d_planarian,generic,stereoseq,1.0,l4,rest,3dpa2,stage,7,12,55590
prista4d_planarian,generic,stereoseq,1.0,l4,rest,5dpa1,stage,11,12,42484
prista4d_planarian,generic,stereoseq,1.0,l4,rest,5dpa2,stage,6,12,87167
prista4d_planarian,generic,stereoseq,1.0,l4,rest,7dpa1,stage,7,12,29783
prista4d_planarian,generic,stereoseq,1.0,l4,rest,7dpa2,stage,11,12,30227
prista4d_planarian,generic,stereoseq,1.0,l5,rest,0hpa1,stage,4,12,5542
prista4d_planarian,generic,stereoseq,1.0,l5,rest,0hpa2,stage,2,12,8131
prista4d_planarian,generic,stereoseq,1.0,l5,rest,10dpa1,stage,11,12,3857
prista4d_planarian,generic,stereoseq,1.0,l5,rest,12hpa1,stage,12,12,8804
prista4d_planarian,generic,stereoseq,1.0,l5,rest,12hpa2,stage,10,12,6560
prista4d_planarian,generic,stereoseq,1.0,l5,rest,14dpa1,stage,9,12,2061
prista4d_planarian,generic,stereoseq,1.0,l5,rest,14dpa2,stage,8,12,2481
prista4d_planarian,generic,stereoseq,1.0,l5,rest,36hpa1,stage,11,12,11057
prista4d_planarian,generic,stereoseq,1.0,l5,rest,36hpa2,stage,12,12,10603
prista4d_planarian,generic,stereoseq,1.0,l5,rest,3dpa1,stage,12,12,5516
prista4d_planarian,generic,stereoseq,1.0,l5,rest,3dpa2,stage,6,12,7632
prista4d_planarian,generic,stereoseq,1.0,l5,rest,5dpa1,stage,9,12,3957
prista4d_planarian,generic,stereoseq,1.0,l5,rest,5dpa2,stage,9,12,7703
prista4d_planarian,generic,stereoseq,1.0,l5,rest,7dpa1,stage,10,12,2762
prista4d_planarian,generic,stereoseq,1.0,l5,rest,7dpa2,stage,10,12,1795
