metric,min,median,max,出っ張り割合
凸包偏差 hull_dev,-316.9668161754691,-91.35533943913617,3.637978807091713e-12,32%
平滑化変位 smooth_disp,-1189.8500035690286,19.030679427360937,1263.3050784911964,76%
