gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface,dataset,specimen
AT2G26910,0.20946462,0.13085935,0.07860528,,,epidermis|rest,acsta_arabidopsis,
ATCG00150,0.5439378,0.46568152,0.07825628,,,epidermis|rest,acsta_arabidopsis,
AT2G01420,0.33874875,0.2652717,0.07347706,,,epidermis|rest,acsta_arabidopsis,
AT3G25690,0.5096791,0.43649355,0.07318553,,,epidermis|rest,acsta_arabidopsis,
AT4G16990,0.37089023,0.29798132,0.07290891,,,epidermis|rest,acsta_arabidopsis,
AT4G16890,0.307717,0.23632859,0.07138841,,,epidermis|rest,acsta_arabidopsis,
AT1G51500,0.2935579,0.22220656,0.07135135,,,epidermis|rest,acsta_arabidopsis,
AT3G19240,0.18106918,0.10977426,0.07129492,,,epidermis|rest,acsta_arabidopsis,
AT4G05631,0.319748,0.24908167,0.07066634,,,epidermis|rest,acsta_arabidopsis,
AT4G01950,0.28820023,0.21920505,0.06899518,,,epidermis|rest,acsta_arabidopsis,
AT2G01080,0.17221636,0.10435313,0.067863226,,,epidermis|rest,acsta_arabidopsis,
ATCG00510,0.8083705,0.7425128,0.06585765,,,epidermis|rest,acsta_arabidopsis,
ATCG00360,0.50449073,0.43955728,0.06493345,,,epidermis|rest,acsta_arabidopsis,
AT1G78070,0.22850701,0.16494292,0.06356409,,,epidermis|rest,acsta_arabidopsis,
AT5G05170,0.24042064,0.17694347,0.06347717,,,epidermis|rest,acsta_arabidopsis,
AT4G30960,0.25040135,0.18712245,0.0632789,,,epidermis|rest,acsta_arabidopsis,
ATCG00330,1.0437261,0.98046935,0.06325674,,,epidermis|rest,acsta_arabidopsis,
AT4G13940,0.39414808,0.33119667,0.062951416,,,epidermis|rest,acsta_arabidopsis,
ATCG00170,0.2707017,0.2079527,0.06274901,,,epidermis|rest,acsta_arabidopsis,
AT2G17840,0.43982485,0.3774729,0.062351942,,,epidermis|rest,acsta_arabidopsis,
AT1G01320,0.34268838,0.28143343,0.06125495,,,epidermis|rest,acsta_arabidopsis,
AT3G55430,0.39237472,0.33161438,0.06076035,,,epidermis|rest,acsta_arabidopsis,
AT4G23850,0.33633024,0.2757503,0.060579926,,,epidermis|rest,acsta_arabidopsis,
AT4G20260,0.6483963,0.587994,0.060402334,,,epidermis|rest,acsta_arabidopsis,
AT4G02920,0.26484382,0.2046135,0.060230315,,,epidermis|rest,acsta_arabidopsis,
AT1G68530,0.55922633,0.49902952,0.060196817,,,epidermis|rest,acsta_arabidopsis,
ATCG00210,0.79130536,0.73150134,0.059804022,,,epidermis|rest,acsta_arabidopsis,
AT4G01250,0.17330359,0.11386495,0.05943864,,,epidermis|rest,acsta_arabidopsis,
AT4G24570,0.71555895,0.6567682,0.058790743,,,epidermis|rest,acsta_arabidopsis,
AT5G45340,0.34162647,0.28301328,0.05861318,,,epidermis|rest,acsta_arabidopsis,
AT1G62750,0.41119552,0.3529809,0.058214605,,,epidermis|rest,acsta_arabidopsis,
AT5G40340,0.22084977,0.16275303,0.058096737,,,epidermis|rest,acsta_arabidopsis,
AT5G40450,0.6842344,0.62718886,0.05704552,,,epidermis|rest,acsta_arabidopsis,
AT5G67300,0.43542895,0.37901086,0.05641809,,,epidermis|rest,acsta_arabidopsis,
ATCG01070,0.6486331,0.5924811,0.056152046,,,epidermis|rest,acsta_arabidopsis,
