gene,obs_lfc,null_sd,p_geomnull,interface,dataset,specimen
PNCK | AMEX60DD025557,-0.075179055,0.0311121703321474,0.0099502487562189,mpEX,artista_axolotl_brain,
GPNMB | AMEX60DD022087,-0.078087464,0.045164769550146,0.1044776119402985,mpEX,artista_axolotl_brain,
MARCKS | AMEX60DDU001006823,-0.13261807,0.0548670506420487,0.0248756218905472,mpEX,artista_axolotl_brain,
FEZF2 | AMEX60DD023808,-0.16802643,0.0752054040307806,0.0199004975124378,mpEX,artista_axolotl_brain,
PENK | AMEX60DD039745,-0.2607072,0.1280959498878887,0.0547263681592039,mpEX,artista_axolotl_brain,
PCP4,0.099071324,0.0146943411890542,0.736318407960199,molecular layer|rest,cerebellum_crossspecies_spatial,
ALDOC,0.0968917,0.0074379484839136,0.0049751243781094,molecular layer|rest,cerebellum_crossspecies_spatial,
GRID2,0.07017088,0.0114616223850095,0.0099502487562189,molecular layer|rest,cerebellum_crossspecies_spatial,
PCP2,0.0495165,0.006491336088689,0.0796019900497512,molecular layer|rest,cerebellum_crossspecies_spatial,
HPCAL1,0.045271292,0.0022178296420926,0.0049751243781094,molecular layer|rest,cerebellum_crossspecies_spatial,
NSG1,0.0395346,0.002276712866271,0.0049751243781094,molecular layer|rest,cerebellum_crossspecies_spatial,
ND1,-0.19757819,0.0344419739892859,0.0547263681592039,molecular layer|rest,cerebellum_crossspecies_spatial,
ND3,-0.23373497,0.0207949542782425,0.4875621890547263,molecular layer|rest,cerebellum_crossspecies_spatial,
ND4,-0.2568953,0.0721701927838204,0.2537313432835821,molecular layer|rest,cerebellum_crossspecies_spatial,
ATP6,-0.30940533,0.105228835540541,0.5621890547263682,molecular layer|rest,cerebellum_crossspecies_spatial,
COX3,-1.158268,0.1640462004631556,0.8656716417910447,molecular layer|rest,cerebellum_crossspecies_spatial,
TTR,-2.270473,0.3365326974280638,0.0049751243781094,molecular layer|rest,cerebellum_crossspecies_spatial,
KCNIP4,0.079603195,0.0442282171433001,0.2288557213930348,granular layer|rest,cerebellum_crossspecies_spatial,
