interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
l3,SMESG000025475.1,0.03986672,0.08380104,-0.04393432,,
l3,SMESG000071278.1,0.124371536,0.16848263,-0.044111095,,
l3,SMESG000012977.1,0.08659618,0.13074881,-0.044152625,,
l3,SMESG000005130.1,0.06326403,0.10743525,-0.04417122,,
l3,SMESG000004507.1,0.03372325,0.07795264,-0.04422939,,
l3,SMESG000020934.1,0.04293845,0.08724602,-0.044307575,,
l3,SMESG000068770.1,0.058297116,0.102628306,-0.04433119,,
l3,SMESG000021642.1,0.03908244,0.08348057,-0.044398125,,
l3,SMESG000066940.1,0.04025882,0.084682316,-0.044423494,,
l3,SMESG000014341.1,0.072413854,0.116888866,-0.04447501,,
l3,SMESG000080328.1,0.05176143,0.09629912,-0.04453769,,
l3,SMESG000080856.1,0.0621532,0.10679443,-0.04464123,,
l3,SMESG000002073.1,0.033853956,0.07851343,-0.044659473,,
l3,SMESG000033211.1,0.05378752,0.09846229,-0.044674773,,
l3,SMESG000044136.1,0.15064505,0.19532111,-0.044676065,,
l3,SMESG000034854.1,0.053853,0.09862254,-0.044769537,,
l3,SMESG000012361.1,0.053722125,0.09854241,-0.044820283,,
l3,SMESG000057910.1,0.156854,0.20173019,-0.044876188,,
l3,SMESG000077177.1,0.03770996,0.082839645,-0.045129687,,
l3,SMESG000028250.1,0.03574927,0.08099701,-0.04524774,,
l3,SMESG000032133.1,0.03614141,0.08147771,-0.0453363,,
l3,SMESG000020306.1,0.044964455,0.090530835,-0.04556638,,
l3,SMESG000055031.1,0.061826196,0.10751532,-0.045689125,,
l3,SMESG000074987.1,0.042807695,0.08884838,-0.046040688,,
l3,SMESG000026637.1,0.036141437,0.082198724,-0.046057288,,
l3,SMESG000025677.1,0.10286983,0.14901483,-0.046145,,
l3,SMESG000061113.1,0.04627155,0.0926939,-0.04642235,,
l3,SMESG000055743.1,0.17567663,0.22215971,-0.046483085,,
l3,SMESG000020805.1,0.041958053,0.0884478,-0.04648975,,
l3,SMESG000049504.1,0.04764407,0.09429624,-0.046652168,,
l3,SMESG000017273.1,0.043395936,0.090050064,-0.046654128,,
l3,SMESG000080432.1,0.05698991,0.10366982,-0.046679914,,
l3,SMESG000014619.1,0.075224236,0.12217654,-0.046952307,,
l3,SMESG000079227.1,0.1639777,0.21094297,-0.04696527,,
l3,SMESG000067191.1,0.034899674,0.08187828,-0.046978608,,
l3,SMESG000070679.1,0.043069158,0.09021033,-0.047141176,,
l3,SMESG000036540.1,0.04437628,0.09157232,-0.04719604,,
l3,SMESG000064891.1,0.03960528,0.086845465,-0.047240186,,
l3,SMESG000041446.1,0.043984115,0.091251835,-0.04726772,,
l3,SMESG000081615.1,0.048297577,0.095738284,-0.047440708,,
l3,SMESG000042238.1,0.089929335,0.13747843,-0.04754909,,
l3,SMESG000065271.1,0.037709966,0.085563645,-0.04785368,,
l3,SMESG000065416.1,0.03980134,0.087726705,-0.047925364,,
l3,SMESG000038369.1,0.05189214,0.0998243,-0.047932163,,
l3,SMESG000025014.1,0.034572877,0.08267937,-0.04810649,,
l3,SMESG000029986.1,0.046663705,0.09477688,-0.04811318,,
l3,SMESG000033847.1,0.042415593,0.09053082,-0.048115227,,
l3,SMESG000070983.1,0.052872494,0.10102596,-0.048153467,,
l3,SMESG000064614.1,0.07221784,0.120414026,-0.04819619,,
l3,SMESG000033447.1,0.056663107,0.10495159,-0.048288483,,
l3,SMESG000065130.1,0.04097774,0.089409135,-0.048431396,,
l3,SMESG000078078.1,0.049604684,0.098061666,-0.04845698,,
l3,SMESG000036519.1,0.041631337,0.09029052,-0.04865918,,
l3,SMESG000044517.1,0.03470359,0.083400525,-0.048696935,,
l3,SMESG000001545.1,0.049277946,0.09806175,-0.0487838,,
l3,SMESG000011981.1,0.04221951,0.09101148,-0.04879197,,
l3,SMESG000079959.1,0.10117051,0.14997621,-0.0488057,,
l3,SMESG000081207.1,0.04241558,0.091251865,-0.048836283,,
