gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
Lsamp,0.10579862,0.09490335,0.010895267,,,Cavity
Gm12355,0.10193031,0.09106579,0.010864526,,,Cavity
Psmc6,0.16763644,0.15679064,0.010845795,,,Cavity
Matr3,0.21528521,0.20444766,0.010837555,,,Cavity
Dnaja1,0.19750682,0.18681669,0.010690123,,,Cavity
Snrpe,0.4800673,0.4694041,0.010663211,,,Cavity
Ddx17,0.38922784,0.37858373,0.010644108,,,Cavity
Gm26623,0.08312055,0.07248993,0.010630615,,,Cavity
Snrpn,0.08551045,0.07488023,0.01063022,,,Cavity
Eif2s2,0.20527358,0.1948076,0.01046598,,,Cavity
Psma2,0.20672767,0.19630398,0.01042369,,,Cavity
Sf3b1,0.16709644,0.15674934,0.010347098,,,Cavity
Tm9sf2,0.13642895,0.12614997,0.010278985,,,Cavity
Ankhd1,0.16650243,0.15634143,0.0101609975,,,Cavity
1700084F23Rik,0.05859153,0.04846433,0.010127198,,,Cavity
Sulf1,0.11387994,0.103767395,0.010112546,,,Cavity
Pfn2,0.148028,0.13795586,0.010072142,,,Cavity
Hmgb3,0.15540433,0.14537652,0.010027811,,,Cavity
Cd24a,0.57935417,0.5693888,0.00996536,,,Cavity
Nr2f1,0.096325465,0.08645007,0.009875394,,,Cavity
Boll,0.103640355,0.09380882,0.009831533,,,Cavity
Rpl38,1.2779722,1.2681724,0.009799838,,,Cavity
Cct5,0.3303472,0.32056683,0.009780377,,,Cavity
Srsf9,0.13859232,0.12885995,0.009732366,,,Cavity
S100a8,0.094247825,0.08456463,0.009683192,,,Cavity
Hmgcs1,0.22927956,0.21959941,0.009680152,,,Cavity
Rrm2b,0.8042497,0.7945831,0.009666622,,,Cavity
Wnt5a,0.07162505,0.062057134,0.009567913,,,Cavity
Fubp1,0.144687,0.13513169,0.00955531,,,Cavity
Zfp207,0.1501981,0.14064655,0.009551555,,,Cavity
Sarnp,0.1038274,0.09427756,0.009549841,,,Cavity
Setbp1,0.09682925,0.087279856,0.009549394,,,Cavity
Ran,0.3426096,0.33310032,0.009509295,,,Cavity
Map2,0.099877045,0.09042952,0.009447522,,,Cavity
Hmgb2,0.18552402,0.17613837,0.009385645,,,Cavity
Lncpint,0.10016988,0.09086093,0.009308949,,,Cavity
Nlgn1,0.09590476,0.08667009,0.009234667,,,Cavity
Fbxl13,0.119023666,0.109789595,0.009234071,,,Cavity
Gm10131,0.23006032,0.22097364,0.009086683,,,Cavity
Srsf7,0.19265556,0.18357499,0.009080574,,,Cavity
Usmg5,0.2192378,0.21020597,0.009031832,,,Cavity
Gm7324,0.0769765,0.06798004,0.008996457,,,Cavity
Serpina1a,0.068391964,0.059413593,0.008978371,,,Cavity
Il10,0.062138617,0.053179506,0.008959111,,,Cavity
Sox6,0.06806447,0.05910782,0.008956652,,,Cavity
Pafah1b1,0.18753392,0.17859082,0.008943096,,,Cavity
Arhgap5,0.078226686,0.06928422,0.0089424625,,,Cavity
Skp1a,0.29747915,0.28857297,0.008906186,,,Cavity
Vps35,0.10299144,0.09416701,0.00882443,,,Cavity
Kng1,0.06566897,0.056855515,0.008813456,,,Cavity
Mgst1,0.1278052,0.11904126,0.008763947,,,Cavity
Cdh11,0.20809954,0.19934717,0.008752376,,,Cavity
6330403K07Rik,0.18044274,0.17178354,0.008659199,,,Cavity
Adnp,0.16310261,0.15452008,0.008582532,,,Cavity
Dsp,0.16251726,0.15408395,0.008433312,,,Cavity
Hmgb1,0.20742567,0.19900124,0.008424431,,,Cavity
Ndufa4,0.60798156,0.5995761,0.008405447,,,Cavity
Ywhaq,0.2310705,0.22272702,0.008343488,,,Cavity
Cct4,0.27079743,0.26246864,0.008328795,,,Cavity
Prpf39,0.22284764,0.21457635,0.008271292,,,Cavity
Pitpna,0.46111852,0.45285887,0.008259654,,,Cavity
Fem1b,0.15329818,0.14506589,0.0082322955,,,Cavity
Nedd4,0.5261631,0.5179536,0.008209527,,,Cavity
Ubqln2,0.123547696,0.11536349,0.008184202,,,Cavity
Glrx3,0.21307093,0.20490752,0.008163407,,,Cavity
Zbtb20,0.25005597,0.24193695,0.008119017,,,Cavity
Vbp1,0.11167069,0.10359957,0.008071117,,,Cavity
Cox5a,0.3421139,0.33406702,0.008046895,,,Cavity
Pcna,0.1598047,0.1518099,0.007994801,,,Cavity
Ppp1cb,0.24174571,0.23377202,0.007973686,,,Cavity
Uqcrb,0.26170558,0.25375643,0.007949144,,,Cavity
Mrps14,0.14123957,0.13329773,0.007941842,,,Cavity
Kdm1b,0.12596959,0.118088536,0.007881053,,,Cavity
Mrfap1,0.2671695,0.2592984,0.007871091,,,Cavity
Rgs2,0.07017289,0.06235627,0.00781662,,,Cavity
Psat1,0.096193016,0.08838385,0.007809162,,,Cavity
Atxn7l3b,0.24673183,0.23893596,0.0077958703,,,Cavity
Mt3,0.06412243,0.056351323,0.0077711083,,,Cavity
Nudt21,0.0850134,0.077300735,0.007712662,,,Cavity
Xpo1,0.16220237,0.1544938,0.0077085793,,,Cavity
Tagln3,0.078271136,0.07064252,0.007628612,,,Cavity
Cetn3,0.12856595,0.12102153,0.0075444207,,,Cavity
Srsf5,0.18511166,0.17758438,0.007527277,,,Cavity
Rnd3,0.06847102,0.060944416,0.0075266063,,,Cavity
Pcdh9,0.08205572,0.07455266,0.007503055,,,Cavity
Lxn,0.0564535,0.048951443,0.0075020567,,,Cavity
Serbp1,0.68233013,0.6748738,0.0074563026,,,Cavity
Tceal8,0.12015705,0.11272096,0.007436089,,,Cavity
Fam25c,0.105110064,0.09771453,0.0073955357,,,Cavity
Mbtd1,0.09700106,0.089626186,0.0073748752,,,Cavity
Col11a1,0.11473191,0.1073753,0.0073566064,,,Cavity
Fabp5,0.6240253,0.61670214,0.007323146,,,Cavity
Hat1,0.1077666,0.10044408,0.00732252,,,Cavity
S100a9,0.068783306,0.061470184,0.007313121,,,Cavity
Gm26697,0.09356223,0.08627162,0.007290609,,,Cavity
Dhx15,0.14266561,0.13540873,0.0072568804,,,Cavity
Xpr1,0.08621322,0.07899443,0.007218793,,,Cavity
Robo2,0.09082171,0.08364523,0.007176481,,,Cavity
Gm29502,0.08361697,0.07649593,0.0071210414,,,Cavity
Macrod2,0.08557678,0.078489296,0.007087484,,,Cavity
Pcp4,0.09178711,0.084700674,0.0070864335,,,Cavity
Cpsf6,0.12850347,0.12141838,0.0070850924,,,Cavity
Sfpq,0.33698004,0.32989827,0.007081777,,,Cavity
Ptprd,0.18317738,0.17612451,0.0070528686,,,Cavity
Hnrnpu,0.398818,0.39179218,0.007025808,,,Cavity
Ppid,0.102760255,0.09574102,0.0070192367,,,Cavity
Eif4g2,0.4906798,0.4836842,0.0069955885,,,Cavity
1810022K09Rik,0.15315847,0.14618903,0.006969437,,,Cavity
Ndufb5,0.27100196,0.26404157,0.006960392,,,Cavity
Azin1,0.12717435,0.12027884,0.006895505,,,Cavity
Wwp2,0.24102198,0.23414497,0.006877005,,,Cavity
Snhg11,0.09795033,0.09108184,0.006868489,,,Cavity
Crot,0.16660435,0.15975392,0.0068504363,,,Cavity
Nono,0.20978823,0.20295443,0.0068338066,,,Cavity
Adgrl3,0.08866324,0.08183562,0.0068276227,,,Cavity
Chmp5,0.07975418,0.072927244,0.006826937,,,Cavity
Phf14,0.09006619,0.08326475,0.006801434,,,Cavity
Acly,0.16461435,0.1578204,0.006793946,,,Cavity
Smarca5,0.09160608,0.08481731,0.006788768,,,Cavity
Krtdap,0.47790068,0.47111902,0.0067816675,,,Cavity
Rbm39,0.27050805,0.26372764,0.006780416,,,Cavity
Rad21,0.17548393,0.16880402,0.0066799074,,,Cavity
Apoc2,0.09619087,0.089513354,0.006677516,,,Cavity
Tle4,0.060192052,0.053533666,0.0066583864,,,Cavity
Tra2a,0.09081253,0.08416096,0.0066515654,,,Cavity
Xkr4,0.10762656,0.10098387,0.0066426843,,,Cavity
Vps29,0.14552124,0.13888179,0.006639451,,,Cavity
Pdcd4,0.10090333,0.09426875,0.0066345856,,,Cavity
Hebp1,0.060042083,0.053426396,0.006615687,,,Cavity
Btg1,0.09302585,0.08648854,0.006537311,,,Cavity
Strap,0.19275147,0.18622184,0.006529629,,,Cavity
Ubl5,0.27480233,0.26828742,0.006514907,,,Cavity
Rcn2,0.11248758,0.105974294,0.0065132827,,,Cavity
Rsrc2,0.09714749,0.09066733,0.0064801574,,,Cavity
Fzd3,0.07030703,0.06384797,0.006459065,,,Cavity
Ube2d3,0.32219425,0.31573716,0.0064570904,,,Cavity
Ppp4r3b,0.06738055,0.060930442,0.0064501055,,,Cavity
Kcnk2,0.23963207,0.23319225,0.00643982,,,Cavity
Gucy1b2,0.1860493,0.17963241,0.006416887,,,Cavity
Dazap2,0.15296875,0.14655745,0.006411299,,,Cavity
Ptch1,0.06041067,0.054016586,0.0063940845,,,Cavity
Atp5f1,0.44480214,0.43843478,0.0063673556,,,Cavity
Nphs1,0.3377826,0.33143532,0.006347269,,,Cavity
Zfp808,0.063233,0.05692037,0.006312635,,,Cavity
Smarce1,0.101498164,0.09519156,0.0063066036,,,Cavity
Srsf3,0.45783836,0.45154437,0.0062939823,,,Cavity
Mt2,0.38610852,0.37984484,0.0062636733,,,Cavity
Vcam1,0.08289147,0.076648846,0.0062426254,,,Cavity
Plpp3,0.08429699,0.07809836,0.0061986297,,,Cavity
Gas1,0.14236616,0.13617745,0.0061887056,,,Cavity
Serinc3,0.1897938,0.18365476,0.00613904,,,Cavity
Ckb,0.2706479,0.26451063,0.0061372817,,,Cavity
Lin7c,0.08190511,0.07578297,0.006122142,,,Cavity
Perp,0.24476157,0.2386621,0.0060994774,,,Cavity
Dmd,0.08121028,0.075113386,0.006096892,,,Cavity
Atrx,0.13593629,0.12984249,0.0060938,,,Cavity
Adgrb3,0.08504194,0.07895233,0.006089613,,,Cavity
Mllt11,0.10013781,0.094048604,0.006089203,,,Cavity
Hnrnpf,0.1522695,0.14620301,0.0060664862,,,Cavity
H3f3a,0.41590297,0.40989384,0.0060091317,,,Cavity
Atp6v1g1,0.1393416,0.133377,0.005964592,,,Cavity
Actr2,0.11602353,0.1100714,0.0059521347,,,Cavity
Gpc6,0.11028259,0.10435484,0.005927749,,,Cavity
Npas3,0.065715365,0.05978935,0.0059260167,,,Cavity
Psmd13,0.12932739,0.12341652,0.005910866,,,Cavity
Brix1,0.06944136,0.063592695,0.0058486685,,,Cavity
Hdac2,0.14868566,0.14285003,0.0058356375,,,Cavity
Ube2e3,0.16833644,0.16251321,0.005823225,,,Cavity
Txnl1,0.14333099,0.1375211,0.0058098882,,,Cavity
Sumo1,0.121787176,0.115991615,0.005795561,,,Cavity
H1f0,0.2522015,0.24643746,0.0057640374,,,Cavity
Pdcd10,0.05719362,0.05144143,0.005752187,,,Cavity
Stox2,0.08598735,0.080243364,0.005743988,,,Cavity
Emp1,0.23527287,0.22955431,0.005718559,,,Cavity
Snapc3,0.068446524,0.0627511,0.005695425,,,Cavity
Gtf2a2,0.10764425,0.10196035,0.005683899,,,Cavity
Echs1,0.10825504,0.10258541,0.005669631,,,Cavity
Rabgap1,0.07800825,0.07236047,0.0056477785,,,Cavity
Fbln5,0.06914439,0.06354735,0.00559704,,,Cavity
Kansl1,0.08503108,0.079455,0.005576074,,,Cavity
Cntnap5b,0.1935408,0.18796715,0.0055736452,,,Cavity
Rbmxl1,0.093493074,0.087945096,0.005547978,,,Cavity
Snap47,0.13283579,0.1272904,0.0055453926,,,Cavity
Nova1,0.062233932,0.05670642,0.0055275112,,,Cavity
Pum1,0.115552284,0.11003262,0.005519666,,,Cavity
Csnk1a1,0.25865477,0.2531403,0.0055144727,,,Cavity
Mvp,0.1088478,0.10334136,0.0055064335,,,Cavity
2010111I01Rik,0.14225854,0.13675518,0.0055033565,,,Cavity
Car2,0.15761626,0.15212198,0.0054942816,,,Cavity
Hnrnpa0,0.30898216,0.30349842,0.0054837465,,,Cavity
Adh5,0.10428691,0.09881319,0.005473718,,,Cavity
Ppa1,0.0912407,0.08582795,0.00541275,,,Cavity
Ube3a,0.11532678,0.109937854,0.005388923,,,Cavity
Lcor,0.09254383,0.08715704,0.005386792,,,Cavity
Lsm8,0.079551905,0.07416848,0.0053834245,,,Cavity
Nbea,0.09169864,0.08633566,0.00536298,,,Cavity
Psmb5,0.12066007,0.115314946,0.005345121,,,Cavity
Lrrc58,0.098348826,0.09302803,0.005320795,,,Cavity
Phip,0.09690115,0.09158144,0.005319707,,,Cavity
Ube2d1,0.0591578,0.053842586,0.0053152144,,,Cavity
Ivns1abp,0.15931,0.15401813,0.0052918643,,,Cavity
Msi2,0.12701513,0.12174599,0.00526914,,,Cavity
Fkbp3,0.09341768,0.088160835,0.0052568465,,,Cavity
Zfp292,0.066516906,0.061271653,0.0052452534,,,Cavity
Mob4,0.12468697,0.11944897,0.005238004,,,Cavity
Rnf216,0.08801735,0.08281596,0.005201392,,,Cavity
Scd2,0.42910576,0.4239064,0.005199373,,,Cavity
Dkk3,0.07397224,0.068773605,0.005198635,,,Cavity
Gng3,0.09691055,0.09171508,0.0051954687,,,Cavity
Pcna-ps2,0.05339555,0.048206665,0.005188886,,,Cavity
Gnai3,0.11050295,0.10531966,0.0051832944,,,Cavity
Lrp1b,0.097740844,0.09256696,0.0051738843,,,Cavity
Uqcrfs1,0.1926545,0.18753569,0.005118817,,,Cavity
Gpm6a,0.06988135,0.06477224,0.005109109,,,Cavity
Tbcb,0.15252513,0.14744614,0.0050789863,,,Cavity
Dmkn,0.24275473,0.23771973,0.005034998,,,Cavity
Ndufa6,0.4298811,0.42485327,0.0050278306,,,Cavity
Adgrg1,0.05674515,0.051719364,0.0050257854,,,Cavity
Sh3bgrl,0.13411205,0.12909168,0.005020365,,,Cavity
Golph3,0.093653046,0.08864372,0.0050093234,,,Cavity
Tra2b,0.17163701,0.16663934,0.0049976707,,,Cavity
Akirin2,0.07460815,0.06962486,0.0049832836,,,Cavity
Urod,0.11963904,0.11466459,0.004974447,,,Cavity
Bcas2,0.1584925,0.15352371,0.004968792,,,Cavity
Gli3,0.06918156,0.064221196,0.0049603656,,,Cavity
Dhx9,0.11627618,0.111320615,0.0049555674,,,Cavity
Nkiras1,0.10534463,0.10040075,0.0049438775,,,Cavity
CT025619.1,0.11547947,0.110542,0.00493747,,,Cavity
Tia1,0.10610938,0.10119026,0.004919119,,,Cavity
Caprin1,0.20808084,0.20317274,0.0049081,,,Cavity
Anp32e,0.17988679,0.17497928,0.0049075037,,,Cavity
Gltp,0.14101967,0.1361169,0.004902765,,,Cavity
Stag2,0.10465439,0.09975968,0.0048947036,,,Cavity
Mrpl20,0.225952,0.22106518,0.004886821,,,Cavity
