interface,n_domain_cells,n_stratum_cells,stratum,n_strata,rho_defs,n_genes,max_abs_lfc,n_null_sig,n_null_tested,mesh_verts,watertight
midgut,49271,29012,L2,5,0.5950379732892848,1135,0.7886166572570801,11,12,6458,True
epidermis,26326,7679,L2,5,0.43909923812575113,775,0.6563935279846191,6,12,8902,True
carcass,18754,7164,L2,5,0.503472372105188,708,0.5422442555427551,7,12,11497,True
fat body,15588,6628,L3,5,0.48632623850848267,6032,2.2999274730682373,4,12,7644,True
