interface,n_domain_cells,n_stratum_cells,stratum,n_strata,rho_defs,n_genes,max_abs_lfc,n_null_sig,n_null_tested,mesh_verts,watertight
Cavity,234528,234528,all,1,0.4808759685402203,4545,0.2327864170074463,1,12,1276,True
Connective tissue,264298,264298,all,1,0.47170196713601403,8123,0.23695814609527588,10,12,1364,True
Muscle,195726,195726,all,1,0.29849687532042996,8569,0.3756319284439087,5,12,1082,True
Brain,140852,140852,all,1,0.21286766911125343,9190,0.580312967300415,3,12,548,True
