interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
1-muscle,Kcnq1ot1,0.39180422,0.31719777,0.07460645,,
1-muscle,5430431A17Rik,0.1626741,0.08838675,0.07428735,,
1-muscle,Stmn2,0.37485155,0.30071005,0.0741415,,
1-muscle,Anxa2,1.4566138,1.3826438,0.07396996,,
1-muscle,Dstn,1.0444795,0.97102064,0.07345885,,
1-muscle,Ebf1,0.4323841,0.35898548,0.07339862,,
1-muscle,Lox,0.7059016,0.63280827,0.073093355,,
1-muscle,Qrich1,0.4879861,0.415095,0.07289109,,
1-muscle,Polr2d,0.2634633,0.19064662,0.07281667,,
1-muscle,Ryr1,0.2960668,0.22326982,0.07279697,,
1-muscle,Mrc2,0.445195,0.37249994,0.07269505,,
1-muscle,Ndufs8,0.72966415,0.6570958,0.07256836,,
1-muscle,Smarca4,0.6920111,0.6195761,0.07243502,,
1-muscle,Ncam1,0.74612755,0.67378026,0.07234728,,
1-muscle,Mtch1,1.1633012,1.09097,0.07233119,,
1-muscle,Rpl36,3.2856514,3.2134004,0.07225108,,
1-muscle,Ddx3x,0.9634573,0.89132464,0.07213265,,
1-muscle,Ddb1,1.4000096,1.3286369,0.07137275,,
1-muscle,Cotl1,0.41247416,0.341333,0.07114115,,
1-muscle,Gm26771,0.13287885,0.061874956,0.0710039,,
1-muscle,Pkm,1.7063878,1.6355727,0.07081509,,
1-muscle,Dctn1,0.40145308,0.33073777,0.07071531,,
1-muscle,Hnrnpul2,0.40190116,0.3315398,0.070361346,,
1-muscle,Fbl,0.64327955,0.573175,0.07010454,,
1-muscle,Psmc5,0.67552173,0.6056861,0.0698356,,
1-muscle,Rpl28,3.4002435,3.3305104,0.06973314,,
1-muscle,Col26a1,0.91786635,0.8491038,0.06876254,,
1-muscle,Ptov1,1.3462936,1.2777389,0.06855464,,
1-muscle,Wtap,0.51191133,0.44345093,0.068460405,,
1-muscle,Cfdp1,0.9471634,0.87881845,0.06834495,,
1-muscle,Hba-x,1.428672,1.3608879,0.06778407,,
1-muscle,Bcl7c,0.6532268,0.5854859,0.06774092,,
1-muscle,Tcea1,0.54351175,0.4766326,0.06687915,,
1-muscle,Gsn,0.82079667,0.75423,0.066566646,,
1-muscle,Rpl19,3.1499882,3.0835814,0.06640673,,
1-muscle,Rhoa,1.164236,1.0980903,0.06614566,,
1-muscle,Rps25,2.9087582,2.8436255,0.06513262,,
1-muscle,Cdc34,0.640584,0.57578874,0.064795256,,
1-muscle,Pygo2,0.28293803,0.21828938,0.06464866,,
1-muscle,Oaz2,0.45596948,0.3913926,0.064576894,,
1-muscle,Ccnb1ip1,0.16704194,0.10273539,0.06430655,,
1-muscle,Hnrnph2,0.49728152,0.43301302,0.0642685,,
1-muscle,Stard7,0.32384664,0.25970292,0.06414372,,
1-muscle,Thrap3,0.72843105,0.6646172,0.063813865,,
1-muscle,Psmd1,0.39129135,0.32754567,0.06374568,,
1-muscle,Hoxa10,0.16938172,0.105702914,0.06367881,,
1-muscle,Nudc,0.8108126,0.7475405,0.06327212,,
1-muscle,Ccl21a,0.28070328,0.21756469,0.06313859,,
1-muscle,Prkaca,0.74800336,0.685079,0.062924385,,
1-muscle,Prpf6,0.25163293,0.18874066,0.06289227,,
1-muscle,Hspd1,1.1969346,1.1343102,0.062624335,,
1-muscle,Nt5dc2,0.8939436,0.83138067,0.06256294,,
1-muscle,Plxnb2,0.85970366,0.79724765,0.06245601,,
1-muscle,Hnrnpd,0.9957276,0.93327564,0.06245196,,
1-muscle,Tuba1b,2.589468,2.5272453,0.06222272,,
1-muscle,Matr3,1.1374868,1.0754247,0.062062144,,
1-muscle,Cdkn1a,0.45044294,0.3885304,0.061912537,,
1-muscle,Igfbp2,0.8674267,0.8055157,0.061910987,,
1-muscle,Ankrd11,0.23033273,0.16854908,0.061783656,,
1-muscle,Paip2b,0.26694065,0.20521282,0.061727837,,
1-muscle,Gps1,0.6196213,0.55823517,0.06138611,,
1-muscle,Otub1,0.49677595,0.43542078,0.061355174,,
1-muscle,Ap2b1,0.31990334,0.25887173,0.06103161,,
1-muscle,Rps18,3.2303133,3.1699333,0.060379982,,
1-muscle,Prrc2c,0.61857474,0.5582643,0.060310423,,
1-muscle,Pafah1b3,0.74583733,0.68564785,0.060189486,,
1-muscle,Dynlt1a,0.10249858,0.042598244,0.05990034,,
1-muscle,Hmgn1,1.9679462,1.9081153,0.059830904,,
1-muscle,Khsrp,0.45123076,0.39146054,0.059770226,,
1-muscle,Psmc3,0.9337577,0.8741688,0.05958891,,
1-muscle,Nr2f2,0.53774464,0.47839722,0.05934742,,
1-muscle,Mki67,0.73566234,0.67631996,0.059342384,,
1-muscle,Gpc1,0.48684204,0.4276032,0.05923885,,
1-muscle,Ank2,0.35128382,0.29285783,0.058425993,,
1-muscle,Hoxc10,0.088159084,0.030254085,0.057905,,
1-muscle,Ap2m1,1.0643495,1.0067083,0.057641268,,
1-muscle,Tpt1,3.6800117,3.622476,0.05753565,,
1-muscle,Tpi1,1.5334,1.4759408,0.057459235,,
1-muscle,Msl1,0.5913604,0.5340955,0.057264864,,
1-muscle,2700081O15Rik,0.47896603,0.4217228,0.057243228,,
1-muscle,Mif,2.1020107,2.0447829,0.05722785,,
1-muscle,Ccdc12,0.43489212,0.3777453,0.057146817,,
1-muscle,Dnm3os,0.48285362,0.4258567,0.05699691,,
1-muscle,Sept11,0.9942255,0.93764853,0.056576967,,
1-muscle,Gm17275,0.146663,0.09028874,0.05637425,,
1-muscle,Midn,0.42308837,0.3668117,0.05627668,,
1-muscle,Myl6,2.3751895,2.318976,0.056213617,,
1-muscle,Rps6,2.8727028,2.8165166,0.0561862,,
1-muscle,Tubb2b,0.91648126,0.86036533,0.056115925,,
1-muscle,Ndufa9,0.46607453,0.41010848,0.05596605,,
1-muscle,Prickle1,0.21229777,0.15634781,0.055949956,,
1-muscle,Fabp7,0.27218932,0.21637565,0.05581367,,
1-muscle,Spag7,0.47478455,0.41918784,0.05559671,,
1-muscle,Got2,0.61944383,0.56409633,0.055347502,,
1-muscle,Arl5a,0.5398757,0.48456132,0.055314362,,
1-muscle,Rplp1,3.891287,3.836047,0.055240154,,
1-muscle,Mgea5,0.4476303,0.3928548,0.054775476,,
1-muscle,Aldh2,0.48181498,0.42723906,0.05457592,,
1-muscle,Smoc2,0.67866504,0.6241448,0.05452025,,
1-muscle,S100a8,0.20151089,0.1473074,0.054203495,,
1-muscle,Zfp91,0.44867113,0.39457583,0.054095298,,
1-muscle,Ptma,3.2824986,3.2287073,0.053791285,,
1-muscle,Twist1,0.70333534,0.6495842,0.05375117,,
1-muscle,Zfp703,0.338931,0.28575087,0.05318013,,
